year,subject,season,stepup_available,non_stepup_available,all_available
2022-23,Reading,Fall,149,181,330
2022-23,Reading,Winter,150,193,343
2022-23,Reading,Spring,155,203,358
2023-24,Reading,Fall,127,151,278
2023-24,Reading,Winter,127,149,276
2023-24,Math,Fall,121,143,264
2023-24,Math,Winter,125,144,269
2024-25,Reading,Fall,116,1306,1422
2024-25,Reading,Winter,114,1343,1457
2024-25,Reading,Spring,110,1292,1402
2024-25,Math,Fall,114,1359,1473
2024-25,Math,Winter,115,1447,1562
2024-25,Math,Spring,114,1395,1509
